,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,address,state,city,zip_code,genre,category1,category2,category3
0,HY5w1bX1kOgUmWjtRLZSkA,afghan-bistro-springfield,Afghan Bistro,https://s3-media2.fl.yelpcdn.com/bphoto/S_r2KGFK3FoOoiQ2-ckugg/o.jpg,False,https://www.yelp.com/biz/afghan-bistro-springfield?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,794,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",5.0,"{'latitude': 38.7377050056113, 'longitude': -77.1934614703059}","['delivery', 'pickup']",$$,"{'address1': '8081-D Alban Rd', 'address2': None, 'address3': '', 'city': 'Springfield', 'zip_code': '22150', 'country': 'US', 'state': 'VA', 'display_address': ['8081-D Alban Rd', 'Springfield, VA 22150']}",+17033374722,(703) 337-4722,21611.15030478091,"['8081-D Alban Rd', 'Springfield, VA 22150']",VA,Springfield,22150,"['Afghan', 'Middle Eastern', 'Halal']",Afghan,Middle Eastern,Halal
1,Ov8YvTNxYPYZu-XWh10WAA,the-union-mclean-4,The Union,https://s3-media4.fl.yelpcdn.com/bphoto/mryNp5PLjRATJtvFpNtC6w/o.jpg,False,https://www.yelp.com/biz/the-union-mclean-4?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,51,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': 38.934998, 'longitude': -77.1794437}",['delivery'],$$,"{'address1': '1379 Beverly Rd', 'address2': None, 'address3': '', 'city': 'McLean', 'zip_code': '22101', 'country': 'US', 'state': 'VA', 'display_address': ['1379 Beverly Rd', 'McLean, VA 22101']}",+17033560129,(703) 356-0129,470.73837393914846,"['1379 Beverly Rd', 'McLean, VA 22101']",VA,McLean,22101,"['American (New)', 'Bars', 'Burgers']",American (New),Bars,Burgers
2,1JRBSzV2NEo-b72ZVm6qXg,bistro-aracosia-washington,Bistro Aracosia,https://s3-media4.fl.yelpcdn.com/bphoto/kEAtSaJXZdrTzAYeH8MOWw/o.jpg,False,https://www.yelp.com/biz/bistro-aracosia-washington?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,197,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 38.92493, 'longitude': -77.10172}","['delivery', 'pickup']",$$$,"{'address1': '5100 MacArthur Blvd', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20016', 'country': 'US', 'state': 'DC', 'display_address': ['5100 MacArthur Blvd', 'Washington, DC 20016']}",+12023630400,(202) 363-0400,6484.682403706737,"['5100 MacArthur Blvd', 'Washington, DC 20016']",DC,Washington,20016,"['Afghan', 'Wine Bars']",Afghan,Wine Bars,
3,1i0gf9awbeXMkrkpjWOaJg,aracosia-mclean-mclean,Aracosia - McLean,https://s3-media2.fl.yelpcdn.com/bphoto/A6jSxzgBtcw7YBwUpVeqPg/o.jpg,False,https://www.yelp.com/biz/aracosia-mclean-mclean?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,61,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",5.0,"{'latitude': 38.93501, 'longitude': -77.1794281}","['delivery', 'pickup']",,"{'address1': '1381 Beverly Rd', 'address2': '', 'address3': None, 'city': 'McLean', 'zip_code': '22101', 'country': 'US', 'state': 'VA', 'display_address': ['1381 Beverly Rd', 'McLean, VA 22101']}",+17032693820,(703) 269-3820,471.01296673415516,"['1381 Beverly Rd', 'McLean, VA 22101']",VA,McLean,22101,"['Afghan', 'Steakhouses', 'Whiskey Bars']",Afghan,Steakhouses,Whiskey Bars
4,aP8uA6LkzBc4q2R0RBRTtA,yayla-bistro-arlington,Yayla Bistro,https://s3-media2.fl.yelpcdn.com/bphoto/CRKsr94qkUuJ_43O_8qblA/o.jpg,False,https://www.yelp.com/biz/yayla-bistro-arlington?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,489,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'greek', 'title': 'Greek'}]",4.5,"{'latitude': 38.886671, 'longitude': -77.162467}","['delivery', 'pickup', 'restaurant_reservation']",$$,"{'address1': '2201 N Westmoreland St', 'address2': '', 'address3': '', 'city': 'Arlington', 'zip_code': '22213', 'country': 'US', 'state': 'VA', 'display_address': ['2201 N Westmoreland St', 'Arlington, VA 22213']}",+17035335600,(703) 533-5600,5134.733075682027,"['2201 N Westmoreland St', 'Arlington, VA 22213']",VA,Arlington,22213,"['Mediterranean', 'Turkish', 'Greek']",Mediterranean,Turkish,Greek
5,md9087cRH7xCzesRGkl4hQ,ciao-osteria-centreville-2,Ciao Osteria,https://s3-media3.fl.yelpcdn.com/bphoto/bu3w-qtkpyKm7uKETI_MFA/o.jpg,False,https://www.yelp.com/biz/ciao-osteria-centreville-2?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,1516,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 38.8365215052393, 'longitude': -77.4390519863693}","['delivery', 'pickup', 'restaurant_reservation']",$$,"{'address1': '14115 Saint Germain Dr', 'address2': '', 'address3': '', 'city': 'Centreville', 'zip_code': '20121', 'country': 'US', 'state': 'VA', 'display_address': ['14115 Saint Germain Dr', 'Centreville, VA 20121']}",+17035438955,(703) 543-8955,25086.858483388925,"['14115 Saint Germain Dr', 'Centreville, VA 20121']",VA,Centreville,20121,"['Italian', 'Seafood']",Italian,Seafood,
6,Ej_S0TYGWOGi9LPdDz7DKA,ambar-arlington-4,Ambar,https://s3-media2.fl.yelpcdn.com/bphoto/zzNYCuorHIjPsbebzbgl9g/o.jpg,False,https://www.yelp.com/biz/ambar-arlington-4?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,1243,"[{'alias': 'modern_european', 'title': 'Modern European'}]",4.5,"{'latitude': 38.88874, 'longitude': -77.09345}","['delivery', 'pickup']",$$,"{'address1': '2901 Wilson Blvd', 'address2': '', 'address3': None, 'city': 'Arlington', 'zip_code': '22201', 'country': 'US', 'state': 'VA', 'display_address': ['2901 Wilson Blvd', 'Arlington, VA 22201']}",+17038759663,(703) 875-9663,8593.149078705886,"['2901 Wilson Blvd', 'Arlington, VA 22201']",VA,Arlington,22201,['Modern European'],Modern European,,
7,xrp2K5LFWT0l6tQSaC0jMA,amoos-restaurant-mclean,Amoo's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/LRlGcVrhmFeqc9sL-ZvBMQ/o.jpg,False,https://www.yelp.com/biz/amoos-restaurant-mclean?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,791,"[{'alias': 'persian', 'title': 'Persian/Iranian'}]",4.5,"{'latitude': 38.92105, 'longitude': -77.1531399}",['delivery'],$$,"{'address1': '6271 Old Dominion Dr', 'address2': '', 'address3': '', 'city': 'McLean', 'zip_code': '22101', 'country': 'US', 'state': 'VA', 'display_address': ['6271 Old Dominion Dr', 'McLean, VA 22101']}",+17034488500,(703) 448-8500,2325.7815963504504,"['6271 Old Dominion Dr', 'McLean, VA 22101']",VA,McLean,22101,['Persian/Iranian'],Persian/Iranian,,
8,ppmmV1FCM5vtjLe8rmzr1A,clarity-vienna,Clarity,https://s3-media2.fl.yelpcdn.com/bphoto/tlQOx0x3CtgWnIe-xP4rEw/o.jpg,False,https://www.yelp.com/biz/clarity-vienna?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,884,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",4.5,"{'latitude': 38.90929, 'longitude': -77.25661}","['delivery', 'restaurant_reservation']",$$$,"{'address1': '442 Maple Ave E', 'address2': '', 'address3': '', 'city': 'Vienna', 'zip_code': '22180', 'country': 'US', 'state': 'VA', 'display_address': ['442 Maple Ave E', 'Vienna, VA 22180']}",+17035398400,(703) 539-8400,7384.068965957041,"['442 Maple Ave E', 'Vienna, VA 22180']",VA,Vienna,22180,"['American (New)', 'Wine Bars', 'Whiskey Bars']",American (New),Wine Bars,Whiskey Bars
9,3xF7jVxTbIFY9vNcZhJg1w,l-auberge-chez-francois-great-falls,L'Auberge Chez Francois,https://s3-media1.fl.yelpcdn.com/bphoto/467__mWxmZHcNhm40xozEA/o.jpg,False,https://www.yelp.com/biz/l-auberge-chez-francois-great-falls?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,534,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 39.0292816, 'longitude': -77.3054733}",[],$$$$,"{'address1': '332 Springvale Rd', 'address2': '', 'address3': '', 'city': 'Great Falls', 'zip_code': '22066', 'country': 'US', 'state': 'VA', 'display_address': ['332 Springvale Rd', 'Great Falls, VA 22066']}",+17037593800,(703) 759-3800,15583.236717135582,"['332 Springvale Rd', 'Great Falls, VA 22066']",VA,Great Falls,22066,['French'],French,,
10,g5K7gQLArdpXYqbw1yAFHw,maydan-washington-2,Maydan,https://s3-media4.fl.yelpcdn.com/bphoto/XJm8Tj3beV_9Jd3qz4HQVQ/o.jpg,False,https://www.yelp.com/biz/maydan-washington-2?adjust_creative=L5uWOotJVmXgAhC5MFlHSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5uWOotJVmXgAhC5MFlHSQ,815,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",4.5,"{'latitude': 38.9198436416598, 'longitude': -77.0310185087658}",['delivery'],$$,"{'address1': '1346 Florida Ave NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['1346 Florida Ave NW', 'Washington, DC 20009']}",,,12627.469202535452,"['1346 Florida Ave NW', 'Washington, DC 20009']",DC,Washington,20009,"['Moroccan', 'Lebanese']",Moroccan,Lebanese,
